*  EC          G       LABEL                   ION
   12663.55078     28.0  'Level  467 = F2f428X '   1
   12663.84375     30.0  'Level  468 = F1e430X '   1
   12724.32129     48.0  'Level  469 = F2e248X '   1
   12724.70703     50.0  'Level  470 = F1f250X '   1
   12727.30859     62.0  'Level  471 = F2e062X '   1
   12727.63867     64.0  'Level  472 = F1f064X '   1
   12741.29004     50.0  'Level  473 = F1e250X '   1
   12741.56152     48.0  'Level  474 = F2f248X '   1
   12753.43750     64.0  'Level  475 = F1e064X '   1
   12753.90430     62.0  'Level  476 = F2f062X '   1
   12761.21387     10.0  'Level  477 = F2e510X '   1
   12762.19043     10.0  'Level  478 = F2f510X '   1
   12763.17871     12.0  'Level  479 = F1f512X '   1
   12764.01367     12.0  'Level  480 = F1e512X '   1
   12874.26660     40.0  'Level  481 = F2e340X '   1
   12874.73242     42.0  'Level  482 = F1f342X '   1
   12886.64746     42.0  'Level  483 = F1e342X '   1
   12886.74023     40.0  'Level  484 = F2f340X '   1
   12898.92578     12.0  'Level  485 = F2e512X '   1
   12900.28320     12.0  'Level  486 = F2f512X '   1
   12900.56055     14.0  'Level  487 = F1f514X '   1
   12901.75195     14.0  'Level  488 = F1e514X '   1
   12921.07227     56.0  'Level  489 = F2e156X '   1
   12921.41016     58.0  'Level  490 = F1f158X '   1
   12943.01465     58.0  'Level  491 = F1e158X '   1
   12943.41797     56.0  'Level  492 = F2f156X '   1
   13001.20117     30.0  'Level  493 = F2e430X '   1
   13001.83008     32.0  'Level  494 = F1f432X '   1
   13008.58105     30.0  'Level  495 = F2f430X '   1
   13008.79199     32.0  'Level  496 = F1e432X '   1
   13059.00781     14.0  'Level  497 = F2e514X '   1
   13060.40137     16.0  'Level  498 = F1f516X '   1
   13060.80469     14.0  'Level  499 = F2f514X '   1
   13062.00684     16.0  'Level  500 = F1e516X '   1
   13241.25684     16.0  'Level  501 = F2e516X '   1
   13242.46582     18.0  'Level  502 = F1f518X '   1
   13243.54688     16.0  'Level  503 = F2f516X '   1
   13244.53906     18.0  'Level  504 = F1e518X '   1
   13297.73145     50.0  'Level  505 = F2e250X '   1
   13298.09961     52.0  'Level  506 = F1f252X '   1
   13315.72461     52.0  'Level  507 = F1e252X '   1
   13316.03223     50.0  'Level  508 = F2f250X '   1
   13354.11719     42.0  'Level  509 = F2e342X '   1
   13354.55566     44.0  'Level  510 = F1f344X '   1
   13365.73828     32.0  'Level  511 = F2e432X '   1
   13366.31738     34.0  'Level  512 = F1f434X '   1
   13367.45605     44.0  'Level  513 = F1e344X '   1
   13367.59766     42.0  'Level  514 = F2f342X '   1
   13373.98535     32.0  'Level  515 = F2f432X '   1
   13374.12207     34.0  'Level  516 = F1e434X '   1
